Source IP,Source Port,Destination IP,Destination Port,Traffic Type,Timestamp
192.168.0.100,53196,172.67.73.98,443,Normal,2024-10-13 21:28:19.891718
172.67.73.98,443,192.168.0.100,53196,Normal,2024-10-13 21:28:19.904684
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:28:20.841120
192.168.0.100,53168,35.190.80.1,443,Normal,2024-10-13 21:28:21.140849
35.190.80.1,443,192.168.0.100,53168,Normal,2024-10-13 21:28:21.161824
192.168.0.100,53302,104.26.7.95,443,Normal,2024-10-13 21:42:40.385281
104.26.7.95,443,192.168.0.100,53302,Normal,2024-10-13 21:42:40.449302
104.26.7.95,443,192.168.0.100,53302,Normal,2024-10-13 21:42:40.761434
104.26.7.95,443,192.168.0.100,53302,Normal,2024-10-13 21:42:40.783487
192.168.0.100,53302,104.26.7.95,443,Normal,2024-10-13 21:42:40.802437
104.26.7.95,443,192.168.0.100,53302,Normal,2024-10-13 21:42:40.825376
192.168.0.100,53302,104.26.7.95,443,Normal,2024-10-13 21:42:40.850305
104.26.7.95,443,192.168.0.100,53302,Normal,2024-10-13 21:42:40.876309
172.64.155.209,443,192.168.0.100,53200,Normal,2024-10-13 21:42:41.268524
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:42:41.316429
172.64.155.209,443,192.168.0.100,53200,Normal,2024-10-13 21:42:41.331443
172.64.155.209,443,192.168.0.100,53200,Normal,2024-10-13 21:42:41.364356
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:42:41.407401
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:42:41.449291
172.64.155.209,443,192.168.0.100,53200,Normal,2024-10-13 21:42:41.486189
172.64.155.209,443,192.168.0.100,53200,Normal,2024-10-13 21:42:41.527081
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:42:41.565977
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:42:41.593244
172.64.155.209,443,192.168.0.100,53200,Normal,2024-10-13 21:42:41.617180
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:42:41.634135
20.250.77.142,443,192.168.0.100,53310,Normal,2024-10-13 21:49:48.489587
192.168.0.100,53310,20.250.77.142,443,Normal,2024-10-13 21:49:48.514747
192.168.0.100,53310,20.250.77.142,443,Normal,2024-10-13 21:49:48.914649
